Emoji,Status,Date Submitted
Hand Stencil,Declined,7/14/2020
Hand Throwing Powder,Under Consideration,2/6/2020
Hand Twirling Mustache,decline ,4/2/2025
Hand Washing,Declined,3/20/2020
Hand Washing,Declined,2/19/2019
HAND WATCH,Declined,7/31/2024
Hand with index finger and thumb crossed,Released as Emoji,10/1/2019
Hand With Palm Up/Down,Released as Emoji,2/26/2020
Hand with Thumb and Ring Ringer Closed,Declined,7/13/2020
HANDS HOLDING THUMBS,Declined,4/15/2021
Hands on Head Gesture,Declined,8/12/2020
Hands Under Chin,Expired,8/13/2019
Hang Glider,decline,4/2/2025
Hanger,Declined,6/29/2022
Hangover,Declined,2/27/2018
Hangry (A),Declined,2/27/2018
Hangry (B),Declined,11/13/2018
Happy Crying with Hearts,Declined,11/19/2019
Harmonica,decline,4/2/2025
Harp,Released as Emoji,5/8/2019
Hat Tip Face,Declined,7/31/2022
Head louse,Declined,4/5/2022
Head louse,Declined,6/22/2022
Head shaking horizontally and  Head shaking vertically,Released as Emoji,12/16/2022
Headache,Declined,8/29/2017
Headbanging,Declined,7/19/2016
Headset,Declined,3/20/2020
Headstone / Grave,Released as Emoji,9/25/2018
Healths,Expired,9/19/2017
Healthy Poo,Declined,2/27/2018
Heart (Organ),Released as Emoji,4/23/2019
Heart Eyes Braces Face,Declined,6/4/2019
Heart Vote,Declined,7/31/2024
"Heart with Chains
",Declined,12/6/2022
Heart With Crown,Declined,12/6/2022
Heart with knife seq,Declined,7/19/2017
Hearts,Declined,10/1/2016
HEATWAVE,Declined,7/1/2024
Heavy Greater-Than Sign,Declined,4/24/2024
Heavy Greater-Than Sign,Declined,4/25/2024
Hedgehog,Released as Emoji,12/14/2016
Help Mark,Declined,5/17/2024
Hemp,Declined,5/10/2024
Henna,Expired,2/20/2018
henna,Declined,7/31/2024
Heron,Declined,6/28/2022
Hesitant Face,decline,4/2/2025
Highland Cattle Face,Declined,8/22/2019
Hima Cultural Area,Declined,7/28/2022
Hindu Temple ,declined,4/2/2025
Hispanic Pride,Declined,7/24/2024
Historic Jeddah,Declined,7/28/2022
HNDS W FNGRTPS PRSD TGTHR,Declined,5/29/2024
Hok San Lion Head,Expired,10/18/2018
Holding breath,Declined,4/2/2024
Hollow Face,decline,4/2/2025
Holly,Under Consideration,2/26/2020
Hoodie,Declined,4/14/2024
Hook,Released as Emoji,11/13/2018
Hop,Declined,5/22/2018
Hope,Declined,3/20/2020
Horseshoe,Declined,3/19/2019
Horseshoe,Declined,7/31/2024
Hostel,Declined,8/25/2021
Hot Air Balloon,Under Consideration,1/8/2020
Hot Sauce,Declined,4/2/2019
hotpot,Declined,7/29/2022
Hula Hooping,Declined,11/21/2017
Humanist,Declined,7/26/2022
Humanoid Unicorn,Declined,2/19/2019
Hummingbird,Declined,9/1/2020
HUMMINGBIRD,decline,4/2/2025
Hummus,Declined,5/22/2018
Hungarian kokarda,Declined,6/3/2024
HUNGRY FACE,Declined,7/25/2024
Hut,Released as Emoji,4/9/2019
Hyacinth,Released as Emoji,6/11/2019
Hydration,decline ,4/2/2025
Hyena,Declined,2/4/2019
Ice,Released as Emoji,3/28/2018
ICE POP,Declined,4/13/2022
Ice Resurfacer,Declined,9/9/2020
Iced Coffee,Declined,8/10/2020
ID Card,Released as Emoji,1/8/2020
Idea,Declined,2/13/2018
IMAGINATIVE FACE,Declined,4/25/2022
Impressed Face,Expired,5/31/2016
Incense,Under Consideration,9/10/2020
Index Finger Pointing at the Viewer,Released as Emoji,7/28/2020
Indian Emojis,Expired,3/29/2018
Indignation,Declined,7/31/2024
Indigo heart,Declined,4/5/2022
Indigo heart,Declined,6/21/2022
Inflatable Face,Released as Emoji,7/8/2024
Influncer,decline ,4/2/2025
Inhaler,Declined,7/3/2018
Injera with Wat,Decline,4/2/2025
inline-skate,decline ,4/2/2025
Interesting,Declined,7/30/2024
INTERLOCKING TOY BLOCKS,Declined,4/14/2021
Interracial Heart Hands,decline ,4/2/2025
Intestines,Declined,12/18/2020
Intestines,Declined,4/4/2024
Inverted Pentagram,Declined,12/11/2018
Island Dancers,Expired,4/16/2018
Italian beef,Declined,3/17/2016
IV Bag,Declined,12/18/2020
IV therapy,Declined,8/27/2021
Ivy,decline ,4/2/2025
Jail,Expired,10/23/2018
jalebi,Declined,7/18/2021
Jam,Declined,4/12/2022
jam,Declined,6/22/2022
Jar,Released as Emoji,3/20/2020
Javelin,decline,4/2/2025
Jelly (gelatin),Expired,8/24/2017
Jelly / Gelatin Mould,Declined,8/13/2019
Jellybean,Declined,4/3/2024
JELLYFISH,Released as Emoji,7/19/2021
Jellyfish (A),Declined,1/14/2016
Jellyfish (B),Declined,9/6/2016
Jesus,Declined,1/5/2016
jock,decline,4/2/2025
Jollof Emoji,Declined,8/4/2021
Journalist,Declined,4/16/2018
Jubilation,Declined,12/14/2016
Juice / Beverage Box,Released as Emoji,4/18/2018
jump rope,Declined,5/21/2024
Jumping,Declined,5/27/2022
Jumping,Declined,7/8/2022
Jupiter,Declined,4/2/2024
K-Heart,decline ,4/2/2025
Karen Flag,Declined,2/13/2020
KAZOO,Declined,8/1/2022
Ketchup,Declined,8/24/2021
KHINKALI,Declined,7/31/2022
Kick rocks,Declined,10/3/2017
Kicking,Declined,4/28/2022
Kidney,Declined,12/17/2019
KIDNEYS,Declined,7/19/2022
Kimchi,Declined,3/19/2019
Kiss face fingers pinched,decline ,4/2/2025
Kite (A),Declined,9/21/2017
Kite (B),Released as Emoji,11/30/2017
Kitesurfer,Declined,7/7/2020
Kiwi Bird (A),Under Consideration,4/24/2018
Kiwi Bird (B),Under Consideration,11/12/2019
Knight,Declined,5/5/2021
Knight,decline ,4/2/2025
Knit hat,Declined,7/7/2022
Knitting,decline ,4/2/2025
Knockout Stars,Expired,9/19/2017
Knot,Released as Emoji,4/23/2019
Koi,Declined,7/30/2022
Kola,Declined,4/23/2022
KOOKABURRA ,decline,4/2/2025
Krapfen,Declined,2/3/2020
Kurdish Sun with 21 Rays,Declined,6/16/2024
Kwanzaa,Declined,4/5/2022
L Hands,Declined,4/22/2024
Lacrosse Stick and Ball,Released as Emoji,7/28/2017
Ladder,Released as Emoji,10/23/2018
laddoo,decline,4/2/2025
Ladino,Declined,6/27/2017
Landslide ,Released as Emoji,7/2/2024
Language Translation,decline,4/2/2025
Lantern,Declined,8/13/2020
Large Black Diamond and Large White Diamond,Declined,7/22/2020
Large triangle pointed up,Declined,7/31/2024
Lasagna,Declined,8/27/2020
laser,Declined,5/30/2021
Laser eyes face,Declined,7/20/2022
Later,Declined,10/31/2017
Latin Cornbread,Released as Emoji,4/23/2019
Latte Art Cappuccino,decline ,4/2/2025
Laughing-Devil,Declined,5/19/2022
Leafless Tree,Released as Emoji,5/25/2022
leash,decline,4/2/2025
Leek,Declined,5/6/2022
Leek,Declined,7/20/2022
Leek-Scallion,Expired,3/20/2018
Left Pushing Hand,Released as Emoji,9/10/2020
Left Writing Hand,Expired,4/25/2018
Leg Cast,Declined,12/18/2020
Lemur,Expired,12/18/2018
Lemur,Declined,4/18/2024
liberty left hand,Declined,7/10/2022
Life Preserver / Ring Buoy,Released as Emoji,7/13/2020
Lifesaving,Declined,5/3/2021
Light Blue Heart,Released as Emoji,4/16/2021
LIGHT OFF BULB,Declined,6/4/2021
Light Stick,Declined,5/13/2022
Lighter,Declined,5/15/2024
Lighthouse,Recommended to UTC,4/2/2025
Lighthouse (A),Declined,11/29/2016
Lighthouse (B),Declined,6/19/2018
Lighthouse (C),Declined,9/1/2020
Lightning Hand,Declined,1/3/2018
Lily,decline,4/2/2025
Lily of the valley,Declined,6/21/2024
Lime,Released as Emoji,8/17/2021
Lime,Declined,4/23/2019
Lion and Sun Symbol,Declined,4/12/2024
Lioness Face,Declined,7/30/2022
Litchi,decline,4/2/2025
Liver,Declined,12/18/2020
Liver,Declined,7/30/2022
Loading icon,Declined,5/21/2018
Locs,decline,4/2/2025
Log Cabin,decline,4/2/2025
London Black Taxi Cab,decline,4/2/2025
Long Drum,Released as Emoji,4/1/2019
Long Sandwich,Declined,4/2/2018
Looking Over Glasses Face,Declined,7/30/2024
Loser Hand,Declined,4/4/2022
Lotus Flower,Released as Emoji,10/23/2019
Lotus Position,Released as Emoji,10/12/2016
Lounge Chair,Declined,8/28/2021
Love and Peace Hand; Three- Finger Salute; Three-Finger Gesture,Declined,4/15/2021
Lovely Music,Declined,8/27/2020
Low Battery,Released as Emoji,9/26/2019
Lowrider Car,Declined,7/31/2024
Lung (Organ),Released as Emoji,4/23/2019
Lute,Declined,9/1/2020
Lychee,Declined,6/22/2022
Lynx,Declined,3/20/2020
Macaron,Declined,4/16/2019
Mace,Declined,7/26/2022
Magazine,Declined,1/17/2020
MAGENTA CIRCLE,Declined,4/28/2021
MAGENTA HEART,Declined,4/28/2021
MAGENTA SQUARE,Declined,4/28/2021
Magic Wand,Released as Emoji,7/10/2018
Mammoth,Released as Emoji,12/6/2017
MAN AND WOMAN IN SUIT LEVITATING,Declined,7/31/2022
Man Breast-Feeding,decline,4/2/2025
Man Caregiver,Released as Emoji,4/23/2019
Man Feeding Baby,Released as Emoji,11/26/2019
Man nursing baby,Released as Emoji,11/26/2019
Man walking (Man walking with backpack),Declined,8/25/2021
Man with birthmark,Declined,7/31/2024
Man with Glasses,Declined,11/14/2018
man ziplining,Declined,7/25/2024
Man's Hat,Expired,10/16/2018
Manatee,Expired,2/16/2017
Manatee,Declined,7/30/2022
manatee,Declined,4/18/2024
Maneki Neko / Smiling Waving Cat,Expired,1/14/2016
Manhole (A),declined,4/2/2025
Manhole (A),declined,4/2/2025
Manhole (B),declined,4/2/2025
Manti Central Asian Food,Declined,4/8/2024
mantis,decline,4/2/2025
Manual Transmission,decline ,4/2/2025
Maracas,Released as Emoji,2/11/2020
Marble Statue,Declined,8/1/2022
Margarita,Declined,4/2/2024
Margarita,Declined,5/10/2024
Mariachi,decline,4/2/2025
Marigold,Declined,6/22/2022
Marimba,Declined,9/1/2020
Marmot,Declined,3/11/2019
Maroon Heart,Declined,7/26/2024
Marriage,Declined,7/21/2024
Mars,Expired,11/29/2016
Mars,Declined,4/2/2024
Martenitsa,Declined,7/25/2021
Mask,Declined,2/11/2020
Masonic symbols,Declined,6/21/2017
Masquerader,Declined,8/24/2017
Mate,Released as Emoji,4/17/2018
Maternity Mark,Declined,5/22/2024
Matryoshka / Nesting Dolls,Released as Emoji,4/2/2019
Matterhorn,Declined,5/22/2018
Maze,Declined,12/18/2020
Maze,Declined,4/12/2018
Meatball,Declined,4/9/2019
Melting Face,Released as Emoji,2/24/2020
Melting Heart,decline,4/2/2025
Mending Heart,Released as Emoji,11/19/2019
MENOPAUSE,Declined,6/28/2024
Menstrual cup,decline,4/2/2025
Mental Well-being,Declined,5/6/2020
Mercury,Declined,4/2/2024
Mermaid,Released as Emoji,10/6/2016
Metal,declined,4/2/2025
Metamorphosis,Declined,2/3/2020
Meteor,Recommended to UTC,4/2/2025
Mezcal Tequila,Declined,11/16/2017
Mic drop,Declined,8/17/2017
Microchip,Declined,7/19/2022
Microwave,Declined,4/13/2024
Microwave,Declined,4/27/2024
Milanesa,Declined,4/2/2024
Military Helmet,Released as Emoji,6/7/2018
Military Law Enforcement,Declined,3/29/2019
Milkshake,Declined,12/11/2018
Millstone,Declined,7/28/2024
Mirror,Released as Emoji,4/2/2019
Mirror Ball (Disco Ball),Released as Emoji,8/23/2019
Mirror modifier,Expired,7/25/2017
Misc ‘complementary’ [64],Declined,10/4/2016
mitochondrion,Declined,7/31/2024
MOKA,Declined,8/25/2021
Mole,Declined,2/11/2020
Monarch Butterfly,Recommended to UTC,4/2/2025
Moose (A),Released as Emoji,11/20/2018
Moose (B),Expired,7/14/2020
MOREL,Declined,5/9/2022
Moss,Declined,4/7/2024
Moss ,Declined,8/1/2024
Moth (A),Under Consideration,2/11/2020
Moth (B),Declined,5/28/2020
Mouse Trap,Released as Emoji,4/23/2019
Moustache,decline ,4/2/2025
mRNA,Declined,5/26/2022
Mudra / HAND WITH INDEX FINGER AND THUMB FORMING A CIRCLE,Under Consideration,9/20/2019
Muffin,Declined,11/19/2019
mulled wine,Declined,7/30/2024
Multiperson Emoji ZWJs ,Released as Emoji,7/31/2024
Mushroom Cloud,Declined,7/31/2022
Musical Instruments,Expired,12/9/2015
Mustache,decline,4/2/2025
Mustard,Declined,11/27/2018
Naan,Declined,11/19/2019
Nacatamal,Expired,3/23/2017
nacho,Declined,7/3/2021
Nacho,Declined,7/31/2022
Najar,Declined,7/28/2022
NALOXONE,Declined,7/27/2022
Narwal,Declined,6/7/2024
Narwal,Declined,6/9/2024
NATO flag (A),Declined,1/11/2018
NATO flag (B),Declined,10/30/2018
Needle,Released as Emoji,3/29/2019
Neptune,Declined,4/2/2024
Net with Handle,Reccommended to UTC,2/6/2020
Net Zero,Declined,8/13/2021
Network,Declined,4/23/2019
Neurodiversity,Declined,8/7/2018
Neutral Face Closed Eyes,Declined,7/30/2024
Neutral Face with Cracks,Declined,4/26/2024
Neutral Face with Tear,Decline,4/2/2025
Neutral Face with Tongue,decline ,4/2/2025
Nine pointed star,Declined,7/24/2017
Nine Pointed Star,declined,4/2/2025
Ninja (A),Declined,9/19/2017
Ninja (B),Released as Emoji,6/7/2018
No cars,Declined,4/4/2022
No Cars,Declined,5/15/2022
No Peanuts,Declined,1/8/2020
Noob,Declined,4/19/2021
Northern Ireland flag,Declined,4/11/2017
Not Equal Sign,Declined,2/11/2020
Notary Stamp Self Inking,declined,4/2/2025
Nowruz,Declined,4/28/2024
Nowruz - New Year ,Declined,4/8/2024
Nuclear Power,Declined,8/13/2021
Nudibranch,Declined,7/31/2020
Nut Butter,declined,4/2/2025
O,Declined,7/14/2020
Oak,Declined,9/10/2020
Object related,Declined,8/16/2017
Ocean Container,Declined,4/18/2022
Olive,Released as Emoji,4/23/2019
Olive branch Wreath,Declined,4/14/2024
Olive oil,Expired,8/30/2021
Olive oil,Expired,4/2/2024
Omelet,Declined,4/22/2021
One Piece Swimsuit,Released as Emoji,4/27/2018
Onion,Released as Emoji,3/20/2018
Open Door,Declined,5/20/2020
Open Eyed Face With Tears of Joy,Declined,12/18/2018
Open Minds,Declined,9/10/2020
Open mouth / heart eyes,Expired,5/19/2017
Opossum,Declined,6/11/2021
Opossum,Decline,4/2/2025
Orange Heart,Released as Emoji,5/4/2016
Orangutan,Released as Emoji,4/25/2018
Orca,Released as Emoji,2/20/2019
Orchid,Under Consideration,11/5/2019
origami,Declined,6/20/2021
Origami,Declined,4/16/2024
Ostrich,Expired,10/4/2016
OSTRICH EMOJI,Declined,6/6/2024
Otter,Released as Emoji,4/3/2018
Oud,Under Consideration,7/28/2022
Ouroboros,Declined,6/20/2021
Outstretched Hand,Declined,5/22/2018
Oyster (A),Released as Emoji,6/30/2017
Oyster (B),Released as Emoji,4/17/2018
Oyster-Mushroom,Declined,5/9/2022
Paan,Declined,7/12/2019
Pacifier,Declined,6/11/2020
Padel,Declined,8/1/2022
padel_racket,decline ,4/2/2025
Padron Pepper,Declined,7/3/2018
Paint Roller,Declined,7/31/2024
Paint Tin,Declined,7/31/2024
Pair of Handcuffs,decline ,4/2/2025
Pajamas,Declined,7/15/2021
Pallet,Declined,4/9/2022
Palms on Cheek Face,Expired,7/22/2021
Pan-African Flag,Declined,8/19/2020
Pandeiro,Declined,9/1/2020
PANETTONE,Declined,7/16/2024
Pangaea (Globe),Declined,2/13/2020
Pangolin,Declined,9/17/2019
Panipuri,Declined,4/28/2024
Paper Bag Face,Declined,4/10/2024
Paper Crane ,Declined,4/4/2024
Paper Crane (A),Declined,2/13/2020
Paper Crane (B),Declined,2/5/2020
PAPER PLANE,Declined,8/28/2021
Parachute,Released as Emoji,1/3/2018
Paralympics (A),Expired,9/21/2016
Paralympics (B),Declined,2/26/2019
Park Ranger,Declined,7/29/2022
Party Cup,Declined,5/28/2020
Passenger Drone (eVTOL),Declined,8/1/2022
PASSION FRUIT,Declined,5/9/2022
Passive Aggressive,decline ,4/2/2025
Pasty,decline ,4/2/2025
Peace Flag,Declined,2/3/2020
Peacock Feather,Declined,5/1/2024
Pearl,Declined,7/31/2024
Pearls,Declined,4/8/2024
Peas,Released as Emoji,2/24/2020
Pecan Nut,Declined,4/3/2024
Pee,Declined,7/30/2022
Peeing Dog,Declined,7/28/2024
Peek-a-boo,Expired,9/19/2017
Peeking Out Emoji,Declined,7/31/2024
Pelican,Expired,2/14/2017
Penalty Cards (A),Expired,12/8/2016
Penalty Cards (B),Declined,3/29/2018
Pentagram,Declined,7/29/2022
Pepper Spray,Declined,11/22/2019
Peppermint Candy,Declined,7/31/2024
Pepperoncini ,decline,4/2/2025
Perfume Glass Bottle,Under Consideration,5/3/2024
Period,Declined,8/17/2017
Period,Declined,4/15/2024
Period pad with blood,decline,4/2/2025
Person behind Podium,Declined,4/2/2024
Person Diving,Declined,4/6/2020
Person Diving,Declined,4/3/2022
Person Diving,Declined,4/3/2022
Person Finger-Tenting,Declined,7/18/2024
Person Hair-Tucking,Declined,7/18/2024
Person Holding Bat,Declined,12/6/2019
Person in VR,decline,4/2/2025
Person Jumping,Expired,2/27/2018
Person Looking in Mirror,Declined,4/2/2019
Person Lying Face Down,decline,4/2/2025
Person Motorcycling,Declined,4/12/2018
Person Playing Polo ,Declined,6/23/2024
Person Pointing at Self,Declined,8/10/2021
Person Pulling Hair Out,decline ,4/2/2025
Person pushing,Declined,7/1/2022
Person reading,Declined,7/21/2022
Person Slipping,Declined,7/31/2024
Person Wearing Fruit Hat,Declined,9/10/2020
Person Wearing Seatbelt,Declined,6/24/2021
Person with Glasses,Declined,11/14/2018
Person with Motorbike Helmet,Declined,5/19/2020
Person/man with headscarf,Declined,7/28/2024
Pestle and mortar,decline ,4/2/2025
Petrified Face,Declined,7/30/2024
PHAGE,Declined,5/18/2021
Pharmacist,decline ,4/2/2025
pharmacy,Declined,4/22/2021
Pharmacy,decline ,4/2/2025
PHILOSOPHIC SHRUG FACE,decline,4/2/2025
Phoenix,Released as Emoji,1/3/2023
Phoenix,Expired,5/19/2021
Phoenix,Declined,7/11/2022
PHONOGRAPH RECORD PLAYER,Declined,7/30/2024
PICKLE,Recommended to UTC,4/2/2025
Pickle,Declined,4/26/2024
Pickle Jar,Declined,5/28/2020
Pickleball,Expired,4/2/2019
Pickleball,Declined,4/18/2022
Pickleball,Declined,5/29/2022
Pickleball,Declined,4/16/2024
Pickup Truck (A),Released as Emoji,4/2/2018
Pickup Truck (B),Released as Emoji,5/8/2018
Pickup Truck (C),Released as Emoji,9/25/2018
Pie,Released as Emoji,10/4/2016
Pie Face emoji,Declined,4/5/2022
Piece of Cake,Declined,5/31/2016
Pieces,Declined,7/31/2024
pierce earrings ,Declined,5/19/2024
Pigeon,Declined,6/27/2024
Piggy Bank / Maneki Neko,Declined,4/3/2018
Pill Box,Declined,10/27/2020
Pill Pack,Declined,12/18/2020
PILLOW,Declined,4/2/2024
Pillow,Declined,4/2/2024
Pillow,Declined,4/4/2024
Piñata,Released as Emoji,2/4/2019
Pinball,Declined,4/6/2024
Pinball flipper and ball,Declined,4/2/2024
Pinch,Released as Emoji,4/25/2018
Pinched Fingers,Released as Emoji,4/23/2019
Pinecone,Declined,7/13/2020
Pinecone,Declined,7/24/2022
Pink Circle,Declined,5/16/2024
Pink dinosaur ,decline,4/2/2025
Pink Heart,Released as Emoji,4/15/2021
Pink Heart,Declined,4/16/2019
Pink Tornado with Candy,Declined,7/30/2024
Pink-Square,Declined,4/25/2021
Pinkwine,Declined,5/31/2021
Pinky Promise,Declined,10/16/2018
Pinky promise,decline ,4/2/2025
Pint of Stout,decline,4/2/2025
Pipe,Declined,4/2/2018
Pirate,Declined,7/29/2024
pistachio,decline,4/2/2025
Pity Face,Declined,5/21/2018
Placard,Released as Emoji,2/5/2019
Places related,Expired,7/19/2017
PLAIN ICHTHYS,Declined,4/2/2024
Planets,Released as Emoji,11/29/2016
Plantain,Declined,7/31/2022
plastic bottle,Declined,5/19/2024
Plastic Chair,Declined,10/2/2018
Platypus,Declined,6/4/2022
Pleading Face,Released as Emoji,4/7/2017
Pleasure emoji,decline,4/2/2025
Plotting Face,Declined,7/30/2022
Plov - Central Asian Dish,Declined,4/8/2024
Plum,Declined,9/10/2020
Plunger,Released as Emoji,4/23/2019
PLUS SIZE WOMAN DANCING,Declined,4/15/2021
PLUS-SIZE + RUNNING,Declined,7/31/2024
Poison,Declined,11/16/2017
Polar Bear (A),Released as Emoji,2/13/2018
Polar Bear (B),Released as Emoji,2/13/2018
Polar Bear (C),Released as Emoji,6/26/2018
Polar Bear (D),Released as Emoji,3/13/2018
Polar Bear (E),Released as Emoji,7/30/2019
Pole Dancer,Declined,7/25/2022
Pom-pom,Declined,6/30/2022
Pomegranate,Decline,4/2/2025
pomegranate,decline,4/2/2025
Pomegranate (A),Expired,11/8/2019
Pomegranate (B),Declined,8/26/2020
Pongal,Declined,7/31/2024
Poodle colors ,Declined,7/31/2024
Poor physical condition,Declined,5/15/2024
Poppy,Expired,11/20/2018
Poppy,Declined,4/15/2021
Possibly Bird,Declined,11/21/2017
Postage Stamp,Declined,4/3/2024
Pot Leaf (marijuana),Declined,5/19/2021
Pot Of Gold,Declined,4/7/2022
Potted plant,Released as Emoji,7/31/2018
Pour,Released as Emoji,2/5/2020
Pour Milk,Declined,5/1/2022
Poutine,Declined,4/9/2019
Pouty Face,Declined,4/2/2024
Power Tool,Declined,6/1/2022
PPE,Declined,8/27/2021
Prayer Rug,Declined,7/31/2024
Pressure Washing,Declined,8/18/2021
Pretzel,Released as Emoji,11/14/2016
Pride Heart,Declined,4/15/2021
Primitive Face,Declined,8/1/2024
Prison,Declined,8/27/2021
Prisoner,Decline,4/2/2025
Programming,Declined,6/8/2018
Programming,Declined,5/22/2024
Promise,decline ,4/2/2025
protein,Declined,7/29/2022
Proud Face,Declined,3/29/2019
Psychotherapy,decline,4/2/2025
Public space,decline ,4/2/2025
Puddle,Declined,7/24/2017
Puffin,Expired,2/27/2018
Pulse,declined,4/2/2025
Puma,Declined,5/6/2021
PUPPET,Under Consideration,4/2/2025
Push Button,Under Consideration,4/8/2024
Pyramid,Expired,11/4/2020
Pyramid,Declined,4/6/2024
Quebec Flag RGI,Declined,9/12/2019
Raccoon dog,Declined,5/13/2022
RACING HELMET,Declined,7/31/2024
Raclette,Declined,2/19/2019
racquet,decline,4/2/2025
Radish,Declined,11/27/2018
Raging Face,Declined,4/4/2022
rain boot,decline,4/2/2025
Rainbow Corn,decline ,4/2/2025
Rainbow Flag,Released as Emoji,6/28/2016
Rainbow heart,Declined,6/21/2022
Rainbow-colored infinity symbol,Declined,4/21/2021
Raised Eyebrow,Released as Emoji,11/12/2015
Raised Little Finger,Under Consideration,10/1/2019
Ramp,decline,4/2/2025
Raptor,decline ,4/2/2025
Raspberry,Declined,5/20/2020
Raspberry,Under Consideration,6/23/2022
Rasta,Declined,7/31/2024
Ray,Declined,7/20/2022
Razor,Released as Emoji,12/19/2017
Razor Blade (cutter),Declined,5/22/2024
Reaching Out,Declined,7/31/2024
Reading,Declined,7/21/2022
Rebounder (trampoline),decline,4/2/2025
Recliner,Declined,7/31/2024
Red Awareness Ribbon,decline ,4/2/2025
Red carnation,Declined,7/30/2024
Red Cross / Crescent,Declined,2/19/2019
Red flag,Declined,4/21/2017
Red Gummy Bear,declined,4/2/2025
Red Panda (A),Declined,9/10/2020
Red Panda (B),Declined,9/10/2020
reduce,Declined,5/22/2024
Referee (A),Declined,4/24/2017
Referee (B),Expired,11/21/2017
Refrigerator,Decline,4/2/2025
Refrigerator,decline,4/2/2025
Refrigerator (A),Declined,9/19/2019
Refrigerator (B),Declined,10/30/2020
Religious Leader,decline ,4/2/2025
Religious Wear,Declined,5/28/2020
Remote Control,Declined,7/31/2022
remote control,Declined,5/16/2024
Rice Cake,Declined,8/30/2021
Rice Cooker,decline,4/2/2025
Right Pushing Hand,Released as Emoji,9/10/2020
Ringed Planet,Released as Emoji,4/18/2018
Ringing Bell,Declined,7/24/2017
River,Declined,9/3/2019
Roasted Marshmallow,Expired,11/9/2018
Rock,Released as Emoji,4/23/2019
Rocky Planet with Craters,Declined,7/19/2024
Rollator,Declined,7/29/2022
Roller Skates,Released as Emoji,4/23/2019
Romani Wheel,decline,4/2/2025
Romper,decline ,4/2/2025
Root,decline ,4/2/2025
Rope,Declined,2/26/2019
Rosary,Declined,7/23/2024
Rosé (wine),Declined,11/20/2018
Rotisserie,Expired,4/18/2018
Rotten Brain,decline,4/2/2025
Rubber Duck,Declined,11/19/2019
rubber duck,Declined,4/4/2022
Rubber Stamp,Declined,8/1/2022
Rubbing Hands,Declined,4/3/2024
RUG,decline,4/2/2025
Rye Bread,Declined,12/3/2018
Sad Hug,Declined,4/20/2022
Sad Money-Mouth Face,decline ,4/2/2025
sad poop,Declined,7/29/2024
Safe,Declined,7/26/2024
Salamander,Expired,10/23/2018
salmon roe,Declined,5/19/2024
Salsa,Declined,7/31/2022
Salteña,Declined,2/20/2018
Saluting Face (A),Declined,6/7/2018
Saluting Face (B),Released as Emoji,4/23/2019
Saluting Face (C),Released as Emoji,10/29/2019
Sami Language Flag (A),Declined,6/26/2017
Sami Language Flag (B),Declined,2/6/2020
Samosa,Declined,4/14/2021
Samosa,decline,4/2/2025
Samurai,Declined,4/7/2024
Samurai,Declined,4/7/2024
Sandwich,Released as Emoji,11/14/2016
Sanguche de Milanesa,Declined,4/3/2024
Sanitary Napkin,Declined,7/31/2022
Sanitary Pad,Declined,8/1/2022
Sardines,decline,4/2/2025
Sari,Released as Emoji,4/26/2018
Sats symbol,Declined,7/30/2022
SAUSAGE,Declined,5/27/2021
Save Money,Declined,4/12/2018
Scallion,Declined,7/31/2024
Scallop Shell 1,Declined,8/25/2021
Scalpel,decline,4/2/2025
SCAR,Declined,6/26/2024
Scarf,Released as Emoji,10/24/2016
Science,Released as Emoji,12/6/2016
Scolding Face,Declined,7/31/2022
Scone,Expired,2/27/2018
Scout Sign,Declined,9/9/2019
Scratching-Head ,Decline,4/2/2025
Screwdriver,Released as Emoji,5/8/2018
Scribble,Declined,7/31/2024
Scuba Diver,Declined,8/27/2020
Sculpture (A),Declined,4/6/2020
Sculpture (B),Declined,4/6/2020
SDG Wheel,Declined,7/30/2024
Sea Level Rise,Declined,7/30/2022
Sea Snail,Declined,4/21/2024
Sea urchin,Declined,6/8/2022
Seahorse,Declined,10/16/2018
Seal,Released as Emoji,4/23/2019
Searching,Declined,9/26/2017
Seatbelt Emoji,Declined,6/24/2021
Seaweed,Declined,8/1/2022
Secret Face,Declined,8/31/2021
Seeing stars face,Declined,4/5/2022
Seeing stars face,Declined,6/21/2022
Seesaw,Declined,5/14/2020
Semla,Decline,4/2/2025
Separate 1F635,Declined,2/13/2018
Server,Declined,4/2/2024
Server,Declined,4/2/2024
Sewing Machine,Declined,8/31/2021
Shaking Face,Released as Emoji,2/5/2020
SHAKING FIST FACE,Declined,6/10/2022
Shanyrak - Symbol of Home,Declined,4/8/2024
Share-on-Evil Monkey,Declined,8/22/2019
Sherlock Holmes,Declined,5/22/2018
Shiba Inu,Declined,7/31/2022
Shifty Eyed Face,Declined,7/31/2022
Shiitake,Declined,5/9/2022
Shisha,Declined,7/19/2022
shocked face - firey eyes,decline,4/2/2025
Shovel (A),Declined,4/9/2019
Shovel (B),Released as Emoji,7/28/2020
Shy Face,Declined,8/1/2024
Side eye,decline,4/2/2025
Side eye w/ straight lips,decline ,4/2/2025
side-eye,decline,4/2/2025
Side-Eyed face emoji ,decline,4/2/2025
Sideways Thumb,Declined,7/31/2020
Sikh Khanda,Released as Emoji,7/3/2020
Sikh temple (Gurdwara),Under Consideration,4/2/2025
Silly Dog,Declined,4/12/2018
Silver Coin,decline,4/2/2025
